write_fact_A,query_B,expected_output_A
Siti memiliki peliharaan Anjing yang diberi nama Simba.,Siapa nama Anjing peliharaan Siti?,Simba
Kendaraan sehari-hari Hendra adalah mobil Audi berwarna Emas.,Apa merek dan warna mobil Hendra?,Audi berwarna Emas
Hadi baru saja membeli mobil Toyota yang warnanya Emas.,Apa warna mobil Toyota yang dibeli Hadi?,Emas
Sari memiliki peliharaan Anjing yang diberi nama Daisy.,Siapa nama Anjing peliharaan Sari?,Daisy
Kode rahasia untuk User_185 adalah 669100.,Apa kode rahasia untuk User_185?,669100
Rini Rahman bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Rini Rahman?,Koki
Kode rahasia untuk User_718 adalah 833336.,Apa kode rahasia untuk User_718?,833336
Dedy memiliki peliharaan Hamster yang diberi nama Zorro.,Siapa nama Hamster peliharaan Dedy?,Zorro
Kendaraan sehari-hari Siti adalah mobil Ford berwarna Emas.,Apa merek dan warna mobil Siti?,Ford berwarna Emas
Tono memiliki peliharaan Ayam yang diberi nama Simba.,Siapa nama Ayam peliharaan Tono?,Simba
"Nama lengkap orang ini adalah Sari Santoso, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Sari Santoso
Kode rahasia untuk User_443 adalah 766608.,Apa kode rahasia untuk User_443?,766608
Tono Setiawan bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Tono Setiawan?,Koki
Kode rahasia untuk User_357 adalah 654447.,Apa kode rahasia untuk User_357?,654447
Iwan Halim bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Iwan Halim?,Tentara
Kendaraan sehari-hari Tono adalah mobil Lexus berwarna Oranye.,Apa merek dan warna mobil Tono?,Lexus berwarna Oranye
Rina Santoso lahir dan dibesarkan di kota Mataram.,Di mana Rina Santoso lahir dan dibesarkan?,Mataram
Joko Nugroho bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Joko Nugroho?,Pengusaha
Kendaraan sehari-hari Hadi adalah mobil Toyota berwarna Biru.,Apa merek dan warna mobil Hadi?,Toyota berwarna Biru
Kendaraan sehari-hari Agus adalah mobil Mazda berwarna Oranye.,Apa merek dan warna mobil Agus?,Mazda berwarna Oranye
Rini Wibowo lahir dan dibesarkan di kota Mataram.,Di mana Rini Wibowo lahir dan dibesarkan?,Mataram
Agus Siregar bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Agus Siregar?,Dokter
Kendaraan sehari-hari Rio adalah mobil Lexus berwarna Merah.,Apa merek dan warna mobil Rio?,Lexus berwarna Merah
Rini memiliki peliharaan Hamster yang diberi nama Coco.,Siapa nama Hamster peliharaan Rini?,Coco
"Nama lengkap orang ini adalah Fitri Suryono, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Fitri Suryono
