fact_id,query_id,write_fact_A,query_B,expected_output_A
User_012425_F1,User_012425_Q1,User_012425 bekerja sebagai Dokter.,Apa pekerjaan User_012425?,Dokter
User_029878_F3,User_029878_Q3,Mobil yang dimiliki User_029878 adalah Hyundai berwarna Oranye.,Apa merek mobil User_029878?,Hyundai
User_001121_F0,User_001121_Q0,User_001121 tinggal di kota Pekanbaru.,Di kota mana User_001121 tinggal?,Pekanbaru
User_001085_F0,User_001085_Q0,User_001085 tinggal di kota Bandung.,Di kota mana User_001085 tinggal?,Bandung
User_028352_F2,User_028352_Q2,User_028352 memiliki peliharaan Kucing bernama Leo.,Siapa nama peliharaan User_028352?,Leo
User_024910_F2,User_024910_Q2,User_024910 memiliki peliharaan Bebek bernama Daisy.,Siapa nama peliharaan User_024910?,Daisy
User_020876_F4,User_020876_Q4,User_020876 baru membeli Daihatsu warna Oranye.,Apa warna mobil User_020876?,Oranye
User_022007_F3,User_022007_Q3,Mobil yang dimiliki User_022007 adalah Honda berwarna Ungu.,Apa merek mobil User_022007?,Honda
User_014193_F3,User_014193_Q3,Mobil yang dimiliki User_014193 adalah Suzuki berwarna Biru.,Apa merek mobil User_014193?,Suzuki
User_000263_F1,User_000263_Q1,User_000263 bekerja sebagai Arsitek.,Apa pekerjaan User_000263?,Arsitek
User_006718_F0,User_006718_Q0,User_006718 tinggal di kota Yogyakarta.,Di kota mana User_006718 tinggal?,Yogyakarta
User_022634_F2,User_022634_Q2,User_022634 memiliki peliharaan Kelinci bernama Bubu.,Siapa nama peliharaan User_022634?,Bubu
User_009818_F2,User_009818_Q2,User_009818 memiliki peliharaan Musang bernama Bubu.,Siapa nama peliharaan User_009818?,Bubu
User_014756_F2,User_014756_Q2,User_014756 memiliki peliharaan Burung bernama Charlie.,Siapa nama peliharaan User_014756?,Charlie
User_010581_F0,User_010581_Q0,User_010581 tinggal di kota Pekanbaru.,Di kota mana User_010581 tinggal?,Pekanbaru
User_003963_F2,User_003963_Q2,User_003963 memiliki peliharaan Kucing bernama Leo.,Siapa nama peliharaan User_003963?,Leo
User_001706_F4,User_001706_Q4,User_001706 baru membeli Mitsubishi warna Ungu.,Apa warna mobil User_001706?,Ungu
User_002674_F3,User_002674_Q3,Mobil yang dimiliki User_002674 adalah Hyundai berwarna Merah.,Apa merek mobil User_002674?,Hyundai
User_023305_F0,User_023305_Q0,User_023305 tinggal di kota Jakarta.,Di kota mana User_023305 tinggal?,Jakarta
User_020562_F3,User_020562_Q3,Mobil yang dimiliki User_020562 adalah Suzuki berwarna Ungu.,Apa merek mobil User_020562?,Suzuki
User_014248_F1,User_014248_Q1,User_014248 bekerja sebagai Insinyur.,Apa pekerjaan User_014248?,Insinyur
User_015412_F3,User_015412_Q3,Mobil yang dimiliki User_015412 adalah BMW berwarna Oranye.,Apa merek mobil User_015412?,BMW
User_004233_F1,User_004233_Q1,User_004233 bekerja sebagai Desainer.,Apa pekerjaan User_004233?,Desainer
User_028409_F4,User_028409_Q4,User_028409 baru membeli Toyota warna Kuning.,Apa warna mobil User_028409?,Kuning
User_022334_F4,User_022334_Q4,User_022334 baru membeli Nissan warna Cokelat.,Apa warna mobil User_022334?,Cokelat
User_019163_F1,User_019163_Q1,User_019163 bekerja sebagai Wartawan.,Apa pekerjaan User_019163?,Wartawan
User_018666_F3,User_018666_Q3,Mobil yang dimiliki User_018666 adalah Toyota berwarna Putih.,Apa merek mobil User_018666?,Toyota
User_025263_F2,User_025263_Q2,User_025263 memiliki peliharaan Ikan bernama Mochi.,Siapa nama peliharaan User_025263?,Mochi
User_029800_F4,User_029800_Q4,User_029800 baru membeli Mitsubishi warna Kuning.,Apa warna mobil User_029800?,Kuning
User_009703_F0,User_009703_Q0,User_009703 tinggal di kota Kupang.,Di kota mana User_009703 tinggal?,Kupang
User_024234_F3,User_024234_Q3,Mobil yang dimiliki User_024234 adalah Toyota berwarna Merah.,Apa merek mobil User_024234?,Toyota
User_019209_F4,User_019209_Q4,User_019209 baru membeli Nissan warna Biru.,Apa warna mobil User_019209?,Biru
User_014745_F1,User_014745_Q1,User_014745 bekerja sebagai Seniman.,Apa pekerjaan User_014745?,Seniman
User_029855_F3,User_029855_Q3,Mobil yang dimiliki User_029855 adalah Nissan berwarna Cokelat.,Apa merek mobil User_029855?,Nissan
User_002217_F1,User_002217_Q1,User_002217 bekerja sebagai Programmer.,Apa pekerjaan User_002217?,Programmer
User_010060_F1,User_010060_Q1,User_010060 bekerja sebagai Dokter.,Apa pekerjaan User_010060?,Dokter
User_019459_F4,User_019459_Q4,User_019459 baru membeli Honda warna Oranye.,Apa warna mobil User_019459?,Oranye
User_012535_F3,User_012535_Q3,Mobil yang dimiliki User_012535 adalah Suzuki berwarna Merah.,Apa merek mobil User_012535?,Suzuki
User_004509_F1,User_004509_Q1,User_004509 bekerja sebagai Wartawan.,Apa pekerjaan User_004509?,Wartawan
User_016122_F3,User_016122_Q3,Mobil yang dimiliki User_016122 adalah Daihatsu berwarna Abu-abu.,Apa merek mobil User_016122?,Daihatsu
User_024752_F3,User_024752_Q3,Mobil yang dimiliki User_024752 adalah Daihatsu berwarna Putih.,Apa merek mobil User_024752?,Daihatsu
User_000581_F4,User_000581_Q4,User_000581 baru membeli Hyundai warna Kuning.,Apa warna mobil User_000581?,Kuning
User_019405_F1,User_019405_Q1,User_019405 bekerja sebagai Koki.,Apa pekerjaan User_019405?,Koki
User_012814_F0,User_012814_Q0,User_012814 tinggal di kota Medan.,Di kota mana User_012814 tinggal?,Medan
User_014203_F1,User_014203_Q1,User_014203 bekerja sebagai Petani.,Apa pekerjaan User_014203?,Petani
User_026268_F0,User_026268_Q0,User_026268 tinggal di kota Manado.,Di kota mana User_026268 tinggal?,Manado
User_023580_F2,User_023580_Q2,User_023580 memiliki peliharaan Bebek bernama Kiko.,Siapa nama peliharaan User_023580?,Kiko
User_016433_F0,User_016433_Q0,User_016433 tinggal di kota Medan.,Di kota mana User_016433 tinggal?,Medan
User_003799_F3,User_003799_Q3,Mobil yang dimiliki User_003799 adalah Daihatsu berwarna Putih.,Apa merek mobil User_003799?,Daihatsu
User_000841_F4,User_000841_Q4,User_000841 baru membeli Ford warna Oranye.,Apa warna mobil User_000841?,Oranye
User_014731_F2,User_014731_Q2,User_014731 memiliki peliharaan Kelinci bernama Rocky.,Siapa nama peliharaan User_014731?,Rocky
User_006961_F1,User_006961_Q1,User_006961 bekerja sebagai Nelayan.,Apa pekerjaan User_006961?,Nelayan
User_013606_F4,User_013606_Q4,User_013606 baru membeli Mitsubishi warna Kuning.,Apa warna mobil User_013606?,Kuning
User_007155_F4,User_007155_Q4,User_007155 baru membeli Hyundai warna Ungu.,Apa warna mobil User_007155?,Ungu
User_003282_F3,User_003282_Q3,Mobil yang dimiliki User_003282 adalah Nissan berwarna Ungu.,Apa merek mobil User_003282?,Nissan
User_010516_F2,User_010516_Q2,User_010516 memiliki peliharaan Burung bernama Charlie.,Siapa nama peliharaan User_010516?,Charlie
User_015877_F2,User_015877_Q2,User_015877 memiliki peliharaan Kelinci bernama Milo.,Siapa nama peliharaan User_015877?,Milo
User_002199_F2,User_002199_Q2,User_002199 memiliki peliharaan Kura-kura bernama Oyen.,Siapa nama peliharaan User_002199?,Oyen
User_012160_F3,User_012160_Q3,Mobil yang dimiliki User_012160 adalah Honda berwarna Biru.,Apa merek mobil User_012160?,Honda
User_019165_F0,User_019165_Q0,User_019165 tinggal di kota Denpasar.,Di kota mana User_019165 tinggal?,Denpasar
User_009129_F0,User_009129_Q0,User_009129 tinggal di kota Yogyakarta.,Di kota mana User_009129 tinggal?,Yogyakarta
User_017460_F3,User_017460_Q3,Mobil yang dimiliki User_017460 adalah Honda berwarna Putih.,Apa merek mobil User_017460?,Honda
User_019084_F1,User_019084_Q1,User_019084 bekerja sebagai Polisi.,Apa pekerjaan User_019084?,Polisi
User_012555_F2,User_012555_Q2,User_012555 memiliki peliharaan Musang bernama Bella.,Siapa nama peliharaan User_012555?,Bella
User_023848_F2,User_023848_Q2,User_023848 memiliki peliharaan Ikan bernama Oyen.,Siapa nama peliharaan User_023848?,Oyen
User_019050_F3,User_019050_Q3,Mobil yang dimiliki User_019050 adalah Daihatsu berwarna Biru.,Apa merek mobil User_019050?,Daihatsu
User_027387_F1,User_027387_Q1,User_027387 bekerja sebagai Nelayan.,Apa pekerjaan User_027387?,Nelayan
User_002969_F1,User_002969_Q1,User_002969 bekerja sebagai Nelayan.,Apa pekerjaan User_002969?,Nelayan
User_012568_F2,User_012568_Q2,User_012568 memiliki peliharaan Musang bernama Milo.,Siapa nama peliharaan User_012568?,Milo
User_023221_F4,User_023221_Q4,User_023221 baru membeli Suzuki warna Cokelat.,Apa warna mobil User_023221?,Cokelat
User_003213_F4,User_003213_Q4,User_003213 baru membeli Ford warna Cokelat.,Apa warna mobil User_003213?,Cokelat
User_018196_F3,User_018196_Q3,Mobil yang dimiliki User_018196 adalah Suzuki berwarna Oranye.,Apa merek mobil User_018196?,Suzuki
User_003177_F3,User_003177_Q3,Mobil yang dimiliki User_003177 adalah Daihatsu berwarna Hijau.,Apa merek mobil User_003177?,Daihatsu
